id,subject,body,sender,label,confidence
1,"Urgent: Your Account Has Been Compromised","Dear Customer, We have detected suspicious activity on your account. Click here immediately to verify your identity: http://secure-bank-verify.com/login. Failure to respond within 24 hours will result in account suspension. Best regards, Security Team",security@bankofamerica-secure.net,1,0.95
2,"Q3 Financial Report - Action Required","Hi Team, Please find attached the Q3 financial report for review. The board meeting is scheduled for Friday at 2pm. Let me know if you have any questions. Thanks, Sarah",sarah.johnson@company.com,0,0.98
3,"You've Won $1,000,000!","CONGRATULATIONS!!! You have been selected as our GRAND PRIZE WINNER! To claim your $1,000,000 prize, simply send us your bank details and a small processing fee of $50. ACT NOW before this offer expires!!! Click here: http://claim-your-prize-now.tk",winner-notification@lottery-intl.org,1,0.99
4,"Meeting Reminder: Project Sync","Hi everyone, Just a reminder about our project sync meeting tomorrow at 10am in Conference Room B. Please come prepared with your status updates. See you there!",mike.chen@company.com,0,0.97
5,"Your PayPal Account is Limited","Dear PayPal User, Your account access has been limited. We noticed unusual login activity and need you to confirm your identity. Please login here: http://paypa1-secure.com/verify to restore full access. PayPal Security",service@paypa1-secure.com,1,0.96
6,"Invoice #INV-2024-0892","Please find attached invoice #INV-2024-0892 for services rendered in October. Payment is due within 30 days. If you have any questions, please contact our billing department.",billing@vendor-services.com,0,0.94
7,"URGENT: IRS Tax Refund Notification","The IRS has calculated that you are owed a tax refund of $4,521.00. To receive your refund, you must verify your identity within 48 hours. Click here to claim: http://irs-refund-claim.info",refunds@irs-gov-us.net,1,0.98
8,"Team Lunch Friday","Hey team! We're organizing a team lunch this Friday at the Italian place downtown. Please RSVP by Wednesday so I can make reservations. Looking forward to it!",jennifer.smith@company.com,0,0.99
9,"Apple ID Suspended - Immediate Action Required","Your Apple ID has been suspended due to security concerns. Someone tried to access your account from an unknown device. Verify your account immediately: http://apple-id-verify.com/secure",no-reply@apple-security.net,1,0.97
10,"Weekly Newsletter: Tech Updates","This week in tech: AI continues to transform security operations, new vulnerability discovered in popular framework, and tips for better password hygiene. Read more on our blog.",newsletter@techweekly.com,0,0.96
11,"Confirm Your Amazon Order","Your recent order #112-4532891-7621345 is being processed. If you did not place this order for $892.00, click here immediately to cancel: http://amazon-order-cancel.tk/verify",orders@amazon-shop-secure.net,1,0.94
12,"Expense Report Approved","Your expense report for the client visit has been approved. Reimbursement will be processed in the next payroll cycle. Thanks for submitting on time.",hr@company.com,0,0.98
13,"Your Netflix Account Has Been Locked","We were unable to validate your billing information for the next billing cycle. Update your payment method here: http://netflix-billing-update.com or your account will be cancelled.",billing@netflix-support.org,1,0.95
14,"Project Update: Sprint 23 Complete","Team, Sprint 23 is now complete. We delivered 15 story points and closed 8 bugs. Great work everyone! Sprint 24 planning is tomorrow morning.",david.williams@company.com,0,0.99
15,"LinkedIn: Someone viewed your profile","Hi Professional, 47 people viewed your profile this week. Upgrade to Premium to see who's interested in you: http://linkedin-premium-offer.tk/upgrade",notifications@linkedln-mail.net,1,0.92
16,"Office Closure Notice","Please note the office will be closed on Thursday for the national holiday. Remote work is available for those who need it. Enjoy the long weekend!",admin@company.com,0,0.97
17,"Microsoft Account Unusual Activity","Unusual sign-in activity detected on your Microsoft account from Russia. If this wasn't you, secure your account immediately: http://microsoft-account-secure.info",security@microsoft-alerts.org,1,0.96
18,"Birthday Celebration for Tom","Don't forget! We're celebrating Tom's birthday in the break room at 3pm today. Cake and snacks provided. See you there!",events@company.com,0,0.99
19,"Verify Your Bank of America Account","Dear Valued Customer, We need to verify your account information. Please click the link below and enter your credentials: http://boa-verify-account.net/secure",alerts@bankofamerica-verify.com,1,0.97
20,"New Feature Release Announcement","We're excited to announce the release of version 2.5! New features include improved performance, dark mode, and enhanced security. Update your app today.",product@saas-company.com,0,0.98
21,"Your DHL Package Delivery Failed","Delivery attempt failed. Your package could not be delivered due to incomplete address. Reschedule delivery here: http://dhl-tracking-redeliver.tk",delivery@dhl-express-tracking.net,1,0.93
22,"Quarterly All-Hands Meeting","Reminder: The quarterly all-hands meeting is next Tuesday at 2pm in the main auditorium. CEO will be presenting the company roadmap.",ceo-office@company.com,0,0.99
23,"Dropbox: Your storage is almost full","You've used 95% of your Dropbox storage. Upgrade now to avoid losing access to your files: http://dropbox-upgrade-storage.info/premium",no-reply@dropbox-storage.org,1,0.91
24,"Customer Feedback Survey","We value your opinion! Please take 5 minutes to complete our customer satisfaction survey. Your feedback helps us improve.",feedback@trusted-vendor.com,0,0.95
25,"Wells Fargo Security Alert","Your debit card ending in 4521 was used for a $2,340 purchase. If unauthorized, call immediately or click here: http://wellsfargo-fraud-alert.net",alerts@wellsfargo-secure.org,1,0.96
